identifierHash,countryCode
-4.7226372818396243e+17,it
5050159119269579e3,it
-4777706147892518e3,it
-397250209581712260,fr
2124142446998656500,it
-6760394015361903e3,es
8929403423509339e3,pl
-102323955608928060,gb
-8963521929858248e3,fr
6242056653228955e3,it
759134477842196e4,gb
2185706046991170600,gb
9110746762615025e3,gb
-3307670636200509e3,es
6427621498633805e3,gb
6706972309918878e3,gb
-6080060077659605e3,se
-4585824128728051700,gb
6174388311350322e3,gb
-902443493449601e4,es
-4667278445086513e3,be
-2710249322280429e3,it
6984562738469244e3,fr
1494612845268798500,it
5539712243095e6,it
659846641316865200,us
-6372279369065452e3,it
-2440262652827135e3,hr
2418640721027439600,se
-2416690132902626e3,it
7592491243025992e3,us
8072484312178781e3,it
-44277058615831e5,fr
8205872311971983e3,it
-2911247715579444e3,it
240925518626164e4,it
1086693516958176300,de
-4364598042530983e3,hk
-6551755154845287e3,fr
6936659214999901e3,it
-3344101169010326500,fr
6146805957699604e3,fr
2495094946914857e3,it
5169024907738427e3,it
-3020562341225085400,de
-1285030478822967300,it
7460866134715639e3,it
8463059209051618e3,it
7801052711380673e3,fr
-264277222077384960,it
-282475427896052300,us
-8994117006577501e3,es
5665012237595216e3,it
-7189838567266204e3,es
-8415087404559164e3,it
5645454509279101e3,it
-6785097442810702e3,es
-2660712655204379600,fr
-5512408906425573e3,it
-9005710665963837e3,us
4274899341104159e3,it
-8876645509292847e3,it
-1712016828201446e3,fr
-5957536289769964e3,fr
6815978123187672e3,gb
-7900951626778369e3,gb
-1292340897028035800,cy
-3504972469215875e3,fr
-6432645662670844e3,fr
-7363010873022145e3,es
-5244154980864374e3,gb
-3470898410462029e3,es
-6032311642999224e3,fr
-965988138174056600,it
-3675698163971583e3,fr
-5932161031198132e3,fr
-4366505510744868e3,gb
267852408093724740,us
-7866608466972991e3,it
886303803625085300,fr
8008205337567085e3,it
-6715583756170855e3,gr
3330208046816059e3,us
-578635195352168e4,it
-2921511231243587e3,fr
-852619922535847e4,pt
5067325205867145e3,nl
1092500098635500900,it
2941988722935387e3,it
-3503076958963385300,it
-6333055304634774e3,us
-707938808325471500,gb
-1091281698132667100,fr
3381369644505778700,gb
3770563452788034600,fr
-62478752961449510,fr
-134508358817663250,es
-8441024960233132e3,fr
-3824745437655002e3,es
-7976993882260823e3,hr
8153901670889164e3,bg
-5859256495260397e3,au
857118533308280400,us
-5960937007545487e3,es
6834871292668958e3,ru
34419192755046500,fr
8072501635995342e3,nl
4129958880596180500,fr
8409393677817037e3,se
8321089408727433e3,it
3427720816232557600,nl
2771105905443099e3,fi
-1162396112231303200,fr
7351081297026043e3,gb
8584219276135746e3,at
-2700334141332465e3,fr
5046537385079735e3,fr
1191980123012969500,it
1789324072590518800,fr
-3090385244957819e3,es
1491605092840466200,gb
3438657378302726e3,fr
5666274082428573e3,us
-6372560849368443e3,fr
4567481493589320700,nl
6840915384119163e3,gb
5432276212477344e3,gb
-7808067885239607e3,fr
5723995422264845e3,it
6973712234341402e3,it
-3522464096247698e3,gb
6209959470652591e3,it
8596550107447443e3,fr
7057674650640549e3,bg
2780972317002617300,it
5763120164920761e3,it
4305846169722521e3,be
671221847472467e4,gb
-1928421899368567e3,fr
-7761394492205668e3,it
-991814870264171600,us
-5396816073858251e3,fr
-5186540356650481e3,fr
6120532709249636e3,it
-5584538817404446e3,us
5715242306494051e3,gb
8664740603355277e3,gb
5507787321458516e3,gb
8309988653318099e3,gb
5747737480256667e3,fr
8199107606142091e3,us
-793255593200963e4,fr
-8366425658006387e3,gb
-5924793265369684e3,it
245701845056183e4,it
-4386471100265653e3,gb
4171504937074181e3,fr
-4781518988799574e3,it
2974515032204641300,us
6926031914451281e3,it
7312485855337867e3,it
-188994493816263870,fr
3724729648830258700,us
-6731818240225817e3,gb
-4723690522404766e3,it
-929900774983252e3,gb
635845369004434e4,it
809571502475204e4,fr
6852042562369261e3,it
-8603880873739941e3,be
4027724076632021e3,gb
8541963231744923e3,fr
-3668293893118168e3,fr
3220591977258723300,fr
-9129856810012058e3,fr
6774390311382153e3,gb
5052788067726364e3,it
-2605252198276716500,it
4680704801681881e3,fr
-2743677282765385700,fr
-3488113631668126700,fr
2689505983428750300,fr
4361358315936373e3,fr
-8556037168619463e3,es
3238713321637325e3,it
-5197540622470527e3,gb
-3099228732841822700,fr
-7050946661930148e3,de
-1073489709954790500,fr
2398377656509555e3,fr
438556649262653e4,fr
63173389573543560,fr
5703601381538811e3,fr
4062768862769776600,es
-5713465606802877e3,it
-8618427897081287e3,it
-9016994810232176e3,fr
-6330329648318637e3,gb
-543133038031251600,de
4638512929165408e3,de
1927357312095367200,si
-7787605200861463e3,es
-1840968736759133700,fr
466117176329828540,es
-7491547971829011e3,us
239956479291798050,hk
3206006359896912e3,fr
3036239123656496e3,de
2848139662524608500,fr
4343472042472601600,it
4591171160540672e3,fr
-7431906879835407e3,be
-300106800568631500,nl
-336147521412565060,gb
-3924422441740396500,it
-2612906651986011e3,fr
-741541609203518e4,gb
-5228196318869349e3,fr
-6176131853611911e3,it
9060095594226431e3,nl
2086545762479749400,es
-7046662208569939e3,fr
-3841232970810978300,fr
99019156101107392,dk
2281556725302892500,fr
-6416530622161352e3,fr
-950087913728900200,fr
8982597339838792e3,it
3898928910268484600,us
5798649377105025e3,es
2722134202598641700,pl
1296990490910077400,fr
4039336161416058e3,fr
-1003669701493199400,gb
630175388922385300,it
-396343578389134300,it
7208737494366407e3,gb
3063218228585386e3,it
-809925640253886700,it
-4245027569455731e3,gb
4423757656760962600,it
-4666666849044421e3,de
2453575269178085400,fr
-3289821594373071e3,fr
-8331554906765312e3,fr
2725955433995923500,fr
-8522519405693984e3,it
1214489186603852500,it
-8896779554305212e3,fr
575075295398383e4,gb
3486280072316958e3,fr
249782501304936960,fr
2395920616708303400,fr
7441976490207815e3,de
9150602327119062e3,fr
-8445233360589122e3,fr
8805241742068118e3,bg
2146859532557546500,se
-2011164948339376400,fr
-6043412375159564e3,it
-8832451615279198e3,es
7005653360647971e3,fr
4192468430825594400,rs
-6423487192852208e3,it
-1.2520237945604319e+18,it
-4923082825312843e3,fr
2366106384474548e3,fr
-6157473115299908e3,gb
-4341798529698643e3,us
1411806206507977200,dk
9166259654430833e3,lu
1099176581126161900,ch
4787743536897604e3,us
-9211564833804156e3,at
-1389041094851303400,gb
-7380193042457415e3,gb
4374253155890759e3,de
3994821603594898400,gb
9108067153966854e3,se
-8774482008123703e3,gb
1205999995766125e3,us
8683165709888507e3,fr
522029563850418240,gb
-5411281476309086e3,pt
-9157676478203219e3,fr
-4324435396278633e3,it
6304875660350383e3,it
-8229632123872592e3,ie
-1500734209631696600,ch
2360540876816882e3,nl
-2477424746476548e3,fr
2712644985356184e3,dk
4878135014892448e3,gb
5989828239673348e3,gb
-1522686473832840200,de
-5635711075242497e3,at
5918182159765522e3,fr
-2137901805096027e3,fr
9170446970067641e3,fr
-2356580838543066e3,ro
-515192205748325e4,fi
-1884252286054183700,us
-32513944962483524,gb
-3041344789290575400,es
319176583464688450,it
3993896755629657e3,it
-5371466696761003e3,it
384098681574730900,gr
-4128020962338938e3,it
-6349381597155958e3,fr
-5304538098532919e3,fr
-6055473387086125e3,fr
-7434926612399472e3,de
2070870693203193300,fr
-3322585349250777e3,it
421531975086483500,us
-7859052432530373e3,it
-2787039935316663e3,es
-4263154094239476700,es
7221945721220499e3,cy
1173066096350295600,it
-4530016944753864700,it
1088637336275483900,fr
664119365696619e4,es
8046343919907111e3,gb
-2143186469386610200,fr
-740156303638394e4,de
-8169683890915434e3,dk
79114773575648110,fr
1672532845968118300,ch
-1172486498463445200,fr
-8145680252145153e3,fr
2570610023144505300,fr
8066558526764328e3,gb
3955433541821409e3,gb
-6541764513338547e3,fr
7221842369069293e3,dk
-1865540772801680600,fr
415099105111284e4,it
-8652482906781209e3,gb
-1025355524030116100,be
-5075660197429433e3,gb
2507284715182753e3,gb
6014522095935446e3,fr
-1721426861614513200,fr
-3251228948968484e3,fr
-9172043172120584e3,fr
198956671893677e4,nl
-5472322254236717e3,de
-7830793528678196e3,fr
-1432749957594483700,ie
454987127494651900,fr
1878484185815913e3,lu
8651159224398533e3,it
-642659422651821e4,gb
-2946094776062054400,gb
5655390091606404e3,ca
-370639530996716100,us
-7178992972685245e3,gb
2382584581533783600,fr
1545427111522434300,gb
-9145851026211793e3,it
3494935179822782e3,it
-7394630868479729e3,it
-5031045973389212e3,fr
1860333885381061600,fr
393240709185161e4,it
-7043548304716732e3,it
369177188383235800,es
793125133497924500,se
385741262649427e4,gb
4818390586370052e3,gb
-3009265949519635500,es
-8699242503336741e3,fr
6544728425021551e3,us
-3049929634752607e3,it
2891721217970706400,fr
5224785878787224e3,fr
2509653275280388e3,es
-5149676926257094e3,pt
7799376938969025e3,nl
-3398960135329136600,it
-1921890904655755800,fr
6183134226511047e3,it
8827906611044116e3,es
7493352811006943e3,gb
959016141529922600,it
4636297697481975e3,at
-4348632313822841e3,nl
8514293183980403e3,it
-6932806168921079e3,fr
-8885105072049577e3,fr
-4334757302237417500,gb
565621936629129800,fr
6714177619567795e3,ch
431809881209511550,it
-1350459481244326700,fr
3515984124300674e3,fr
-3612020139578481e3,be
-3994886997598438400,fr
4659390131458672e3,gb
753170323598222e3,be
4447282768718991400,at
-11657998380799042,fr
163607957619624960,dk
-558214021679034e4,gb
5986092499264615e3,at
-579286739934485900,es
-1592703184083967500,de
-7855565158635582e3,fr
-2349089711234711600,it
432544181126875800,fr
476757878332299500,it
6361058343213699e3,gb
-2733507327440971e3,it
6960463569765892e3,fr
-4639525383151724e3,us
-731364679427404e4,es
-298390574814791900,it
790964656044582e4,it
-5428785228255157e3,gb
1779520214704383500,fr
-423831463391228350,gb
-1270561513409881e3,fr
8477804362351739e3,de
-2702369790812603400,gb
1131320826777198600,it
-8191323001400177e3,fr
-988994243279734500,gb
-5565524755681136e3,it
-2736320772080079e3,sg
-1525064128571653e3,it
-331720462074884540,fr
1493902124134531e3,fr
-7607926859502591e3,fr
-7437459741119098e3,fr
228259141128362e4,fr
2697382694152799e3,it
3016889589389240300,ua
5454813788143146e3,nl
2070053271656221200,us
4616051456843272e3,us
-7226653345439306e3,it
829406176446684800,gb
-4681172990535195e3,gr
3385245018245115e3,it
-5871462743483671e3,sg
872842094705669100,it
-2924373530759516700,fr
-4606891868683532300,it
-1147179868579204500,gb
7335098750383934e3,gb
7395070500944634e3,us
671249852454877e4,de
-8502497955746458e3,us
-3990044360109199e3,es
74956065714093330,fr
2450213059077239e3,gr
-6570180202627114e3,us
-4672230762230028e3,de
739909054493925e4,de
-3941183582431067e3,gb
4925230647476149e3,fr
1678816183628314600,gb
3896582367977424e3,fr
-6467341093455444e3,us
5791059913399212e3,it
1911494801452907500,se
4954804813014682e3,es
4523851990072926700,us
-5515668533163164e3,it
6980785671401545e3,fr
3323749179659109400,gr
7586395130831713e3,se
4801131882464197e3,es
-3.1650173908945603e+18,fr
6816035018474071e3,gb
-7306992603985148e3,es
-5922910413286749e3,gb
-6646564108978352e3,it
3244409655253795e3,fr
1073434292484980200,fr
940403801598623700,es
-2068292297135782100,fr
1801952525723384e3,gb
-1519853430293973e3,it
-5899435760618833e3,it
814926800581894e4,it
-1474808060924874200,us
-8485745386785936e3,ro
-6694678098187245e3,us
-7232141333487874e3,hr
734260602098344700,fr
1248912348186971e3,fr
1675020017057075200,fi
959176789061249800,pt
-2635416147308987400,fr
2156151081383106600,it
-2604348773670047e3,fr
-2531986098916950500,fr
8739218763211294e3,it
-499402380392506900,gb
-804816381776777e4,fr
4760807195727319e3,fr
6421042878376135e3,gb
-6689831235342635e3,fr
4106021158889613e3,es
-3211102685743112e3,fr
3262551808538351600,gb
-8863515064540919e3,fr
-476238112019367e4,es
8348267110298692e3,fr
-3390547139722472400,us
1468060967281897e3,be
-6823413479866544e3,us
-2097385243946503700,mc
4444424770776846300,fr
497413996487538e4,fr
2918651103616461e3,it
-5723908267234525e3,de
-7886487317645812e3,ie
-3889224716247036e3,fr
7153732095579957e3,fr
-3404538058286031400,fr
-83331289966068e5,us
-8892275907658982e3,de
1948615191528198700,fr
2085308939476973600,gr
-6558159521622857e3,fr
8418251813128396e3,it
2013547451516013600,fr
-853615743785254800,fr
-6886554839968463e3,fr
-2777650961797375500,de
-6677976711679076e3,gb
-2571294456362491400,be
-4861180594685235e3,fr
-994629688828973300,gb
8798890816858449e3,it
9167665416767292e3,fr
-786503909051154e4,fr
-6903734981210434e3,fr
-2140082192256789e3,fr
-8464340524080757e3,it
6101419567499434e3,fr
8493883659490394e3,es
-5292285488908154e3,fr
-7073473049957804e3,nl
-1076665208168361700,de
-1214903958947831800,it
2175183929349182700,it
8019333355823766e3,fr
-469715621566710900,mc
-315575581999042500,pl
-6900116486804602e3,fr
1243747977692584e3,it
-656225017852396400,it
-7368750132373463e3,hk
-4278074270356081700,fr
9204738082147466e3,at
-3758505913221700600,fr
5437674490743069e3,fr
648074760313176e4,fr
7758739235750918e3,au
-7290974513411973e3,fr
-7720250109870276e3,es
-2455250066336452600,fr
3740740372401886e3,fr
-7131578977635953e3,fr
-4535790187904363e3,ca
-4155380157799052300,it
-7885463203741116e3,gb
-8925825337170225e3,fr
6836190220960901e3,fr
-7586207350822889e3,fr
-2792310982752657400,it
-8212398317898387e3,at
-1698189862431693300,es
5301312793441439e3,fr
-4355833931811791400,it
-8058331931797222e3,fr
5893404584991388e3,fr
9106754600233744e3,fr
-3630938654931844e3,nl
5.3811339398326395e+18,es
4261778118763643e3,it
-4262311159452697e3,fr
-674618514799767800,gb
-6628708949588128e3,fr
-999139309940964400,fr
-4181911525908839e3,de
-7209304181847916e3,dk
-238392475531079870,de
1844013789737284900,pt
5506381859286841e3,nl
1725371131152118e3,nl
-564552617965351e4,fr
7507545849195174e3,us
-7907262369428491e3,gb
4132234015321316e3,es
-3272622732824317e3,us
-1004110245423120400,fr
2163765023981021200,se
-7337629797305984e3,es
6743225226151676e3,es
8861100928808294e3,fr
7303117531471935e3,us
-7813001245485109e3,us
5302721221388455e3,nl
-828453988416613200,gb
-8363099153416654e3,fr
727757486795847300,de
8046953570880828e3,be
-784101146272577e3,nl
6262616866933505e3,es
7898888616565774e3,gb
-7883107789407845e3,es
-1219089413850248200,it
-6720936365483549e3,us
-7212049267630239e3,fr
-2519038303866595300,gb
2395535090784674e3,gb
-456676597959805e4,it
7663236398511134e3,it
-9207121252853165e3,it
-6751225276157681e3,it
8046941325202958e3,lt
5167068734416541e3,fr
-8163066968620754e3,fr
5561098464472661e3,it
-570210788194564160,gb
-270535223259784030,de
3265212114192338e3,se
7382347675413052e3,gb
-6279744200275356e3,gb
6747361633359898e3,it
-5032245838519522e3,fr
6633067602148393e3,pt
-5950771501696453e3,us
5399767618555168e3,gb
-5375957863843465e3,it
-602617332009839e4,us
938680356310773800,us
-2.9147003564939837e+18,it
-690319494731866900,it
-2480515271704888e3,fr
6128365338890784e3,pt
-1780456174896106500,es
-8797149967820944e3,us
-6459910654390571e3,fr
8197525708922278e3,de
474629515971081e4,us
-1169217646727826200,gb
3763240802572686300,gb
-8845555575275634e3,de
-4400695312191631e3,se
7394670529240182e3,gb
5653191426815768e3,es
4574885952883356700,de
-4660981981098152e3,fr
-4959109699425427e3,it
-4092809094578313700,us
3043521693701027e3,it
-1144250869394068600,us
3140729838374272500,us
8395302532545029e3,nl
-7371551708318152e3,be
-3325540611202388e3,it
8951638842712694e3,de
-3148681378891142e3,fr
-7570200531443952e3,us
-5927404992926155e3,gb
-3760053477256225300,fr
2228638483249825300,fr
-1363527141278594300,hr
2269489896576201700,gb
2398465986546005e3,fr
-8772370958169936e3,it
8953812546860464e3,gb
7265512715821239e3,fr
2905362549583849e3,fr
591366017492227700,fr
4395818224959111e3,it
5864925714495136e3,se
-4873819002224534e3,us
8450749121953935e3,be
8423652128738658e3,ro
8946395988731884e3,es
-2681620353447991e3,fr
1410220577284326e3,de
8736763297909494e3,gb
-6.0445546868336005e+18,us
3861818095694459e3,fr
-6576570941885752e3,gb
-4030876366931381e3,cn
-3057273417489603600,it
-5918638551023026e3,fr
-1585470762447092500,gb
695581688973955e4,fr
-6612385878690806e3,us
2568110618956563500,fr
-5754734057032505e3,es
3590109836967004e3,nl
4216896626990089e3,lt
-5926754529555186e3,it
-1567555033780711e3,it
3151823932632444e3,gb
-251780336166326340,it
5615893705418491e3,fr
-1805803297693099800,de
-5.2921575835587195e+18,fr
-1523703844667976e3,fr
-1882441183519159e3,nl
1326341750499545e3,gb
-1236166651194605e3,fr
-5909925390097191e3,us
2628174302261098500,de
3193297232352825300,fr
-91545403027194e5,se
6957062756069975e3,us
626703106438976e4,fr
1921996037780158500,fr
-60856237556886e5,fr
3875759775708679700,gb
-7898895649950179e3,nl
-1739333009106569e3,fr
247744097368701e4,at
3019929599537506e3,es
-491983339536768640,gb
2440554333962377700,it
1863894638427717400,sg
3876636692246214700,fr
-8044568391374695e3,fr
-3812284985498847e3,gb
-6295790340079625e3,fr
-394691081081589500,fr
4404684320621147600,fr
8674620857603261e3,us
7806804542269305e3,pt
259393584869414100,it
9100169059369713e3,de
6203606368065207e3,it
-2856422455528158e3,fr
1235962556490937300,fr
-39813362359037544,fr
-8856011788146505e3,gb
2755760979801277e3,dk
-7431659601012833e3,nl
604664596622143400,fr
477645216802939e4,fr
4741046642179619e3,ro
8801043160721197e3,us
2452461297878582300,us
159463588957882080,fr
-3328558734778121e3,it
7250516200758578e3,gb
-5427472487749232e3,de
-3654955382912179700,fr
1017105182555037200,gb
-6987787632177021e3,gb
-3870137906448237600,nl
-7300962161475873e3,it
-1349647415033941e3,it
-1739057813756791300,gb
-4837181441018269e3,gb
1713273362553087700,de
1987970443473539600,fr
5803869750282181e3,de
2323566315593670700,fr
-3675174839379714600,it
4216047889817126e3,de
5083173727188082e3,fr
468440396004887360,fr
-4943069600317872e3,it
2753316693042523600,fr
-5461020170233983e3,es
-530929922134223e4,it
3311078673017922600,nl
-421750739449324e4,gb
6097502774281617e3,fr
-9029077350180102e3,fr
-9155692707487402e3,fr
8504131601609363e3,it
6123668119283703e3,fr
7098726264153765e3,de
2647598526405850600,de
7640732237081752e3,fr
-4781652754927472e3,de
4416517294355220500,de
-199886979529597500,it
886321339139264e4,it
-5230774461866746e3,fr
6961191422521278e3,fr
-6545757706348511e3,it
8801594645761254e3,es
8241078253355924e3,gb
-5762931944526905e3,fr
-6043070923296301e3,dk
-1873311679611297300,fr
-1734890265938265e3,fr
5266838531813339e3,be
8417103806326708e3,fr
-4621025407353406e3,es
918438851633378600,fr
7747169515154146e3,it
-7221864627304942e3,fr
-2571056937959546e3,de
2114162861056156400,fr
8063250154829431e3,fr
427933587901670900,it
-8148870524155337e3,us
1829136477978375400,it
-4741842714772703e3,fr
8777512031526971e3,fr
4589337700415339500,fr
8385342256671432e3,gb
2294907967788742400,gb
-4340758130281289700,gb
1231270329661369900,us
-77131311714878900,it
-2972620238986455e3,nl
-3156237558542713e3,fr
-397715242047756100,fr
-5063154008566694e3,fr
5295027764208094e3,us
835369959506681e4,de
8877059745777202e3,sg
7115634276937683e3,es
-8636135582985763e3,fr
-9179776199935257e3,fr
-3517784619551823400,fr
3634676534835113e3,gb
-3881193186437595e3,nl
-1119755620249269900,it
-442434177063404860,fr
-8639163695791638e3,es
-9200239422095559e3,us
-4457284496934795e3,fr
3800570161555611600,it
-2436909210488253400,de
6376500991650714e3,fr
5939621182852977e3,it
-7896976652515339e3,gb
5670738800153113e3,ie
-213049387668756500,it
659773979310401900,fr
-4673324929958655e3,it
-8209505662047871e3,fr
3485596996838017e3,fr
2912646982444008400,it
1688184963206154e3,it
4787414866676235e3,fr
2227689234775363e3,fr
85241145581709e5,gb
8741469978788056e3,gb
-156456514171624500,fr
-2287421963476981800,fr
-7627794576096756e3,fr
-8114167237057824e3,ch
-7303923778920142e3,fr
-7179092774775666e3,fr
-5495569077827895e3,be
-8100909995380355e3,it
5594657481987396e3,it
-7417465008841893e3,fr
540020014940122e4,be
-7094877849831542e3,fr
9082929948077464e3,fr
101954095845474060,it
-3264721638526989300,be
3623207432119826e3,it
5480978200949773,fr
5117145322760094e3,fr
233510805294234e4,de
335846253364121e4,it
2969941658972618e3,fr
-427572891732491e4,gb
-4483883463472174600,fr
6014684584742402e3,fr
-3025003941102034400,fr
-2054012269898191400,it
-1519963876306903600,it
3071170079720125e3,dk
-3813856125400639500,fr
-394941687574306700,gb
7942676274868686e3,fr
7206165568206284e3,de
5603238669687577e3,fr
-899393618243305900,fr
-830223493452159e4,dk
4315912065348479e3,gb
-4992202374593708e3,es
651124435060495e4,hk
4096894858189276700,pt
7900730455799465e3,fr
4193195965787974700,fr
3506284051701885400,fr
2332257024596476400,fr
-9116244024532905e3,fr
4114901645537435600,it
8047501081204921e3,fr
-3642034252906304e3,gb
405821060252434200,gb
1247506402056753e3,it
-2412429062980107300,fr
-6527262459952475e3,fr
-6662942509787838e3,it
1725467192800225800,gb
6432325500744575e3,us
-2361842816394812400,bg
587378180637271e4,fr
2693758822847548400,fr
2976930645323929e3,fr
619400251257418800,fr
7007889276007839e3,it
1604076854667778300,it
-5971186868882165e3,gb
4083881020900546600,fr
96548496861352480,hk
-9004411486127587e3,fr
-1369438276320193500,fr
7961144598758951e3,fr
9034436211425086e3,gb
5316089128689082e3,fr
3179447064315962400,gr
61877336535571310,us
5862940348467614e3,fr
-1750962877651044400,jp
-8414812532372102e3,gb
2584955999148084e3,it
4279953062703078400,be
-1083701456143069300,fr
2058151472751288e3,au
849060883094591400,fr
2549571930210717700,us
-7793023085262002e3,fr
3376426910763101e3,it
-8705238579015439e3,it
-3691438740250021e3,it
-1983450227143754200,de
-1168831658959996e3,it
6790293934006959e3,fr
1513245000248951800,be
-8509706470073366e3,us
895785281993718e4,de
-1677237472416841200,us
-5812171969535131e3,es
4266004161986327e3,ch
-787854664356521e4,fr
-8542491542885408e3,gb
-8563599757783311e3,it
-8440148492955964e3,us
8876721040858142e3,gb
3488893185552828400,be
-6987113547622022e3,gr
5270335235710307e3,ch
8409529153549754e3,us
5365097085560216e3,fr
8361209915745538e3,au
7227113468826045e3,es
2.8425116669948477e+18,fr
-1916618905519698e3,fr
-2759253826825522700,it
675912084322845300,it
-2168630245296089600,es
-5977990071560336e3,gb
8563033691699741e3,es
-1990896768776497200,ee
2736910287479045600,ee
-1021349500291115800,it
3790800482368227300,fr
-395389685129775700,se
-7968839359654912e3,es
-6641482398610243e3,it
6652704610686339e3,gb
8016439317884322e3,fr
-7583305169647549e3,de
2280479819647341600,fr
-964039479451586400,fr
-212594688824032130,it
327915811281740740,es
-6887325145422823e3,es
-7865868012130558e3,dk
1162512001359171600,fr
-5765889170351389e3,gb
-5366481289101772e3,pl
-7081503562181378e3,de
-950777432810298400,au
2422525774716487e3,fr
8131420742153307e3,au
-8805272050949315e3,fr
-4117653716465234e3,fr
6641089333896139e3,fr
6365150640786914e3,de
581059903120448800,it
6760142290874414e3,fr
-130251042684467170,gb
-5473630887295463e3,es
8781907915566696e3,ru
1604037597906713300,us
1895405031027612700,it
-7061988239839943e3,de
-4433602780232108e3,nl
-7142437070558138e3,gb
