identifierHash,gender,language,seniority,hasAnyApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniorityAsMonths,seniorityAsYears,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought
6316993533074983e3,F,fr,3200,TRUE,FALSE,TRUE,11,106.67,8.89,22,8,0,2,44,89.1,0,0
4006961445353149e3,M,it,3196,TRUE,TRUE,FALSE,11,106.53,8.88,21,8,12,7,44,93,9,3
-1006797016053203300,F,it,3195,TRUE,TRUE,FALSE,11,106.5,8.88,47,8,13,25,43,93,19,0
1243326618075091700,F,en,3203,TRUE,TRUE,FALSE,11,106.77,8.9,41,8,0,23,43,78,0,0
-1476665525462223400,F,en,3199,TRUE,TRUE,FALSE,11,106.63,8.89,67,30,345,4,42,79,157,12
-685666612473067300,F,it,2856,TRUE,TRUE,FALSE,11,95.2,7.93,100,450,544,82,41,90,114,9
-3509281294387690500,F,en,2852,FALSE,FALSE,FALSE,11,95.07,7.92,39,17,474,66,41,87,17,0
-3240410723839502300,M,en,2859,TRUE,TRUE,TRUE,11,95.3,7.94,9,8,3,5,41,78,1,1
-7003214344574182e3,F,fr,3198,FALSE,FALSE,TRUE,11,106.6,8.88,15,8,0,10,38,84,1,0
245123921236534940,F,en,2857,TRUE,TRUE,FALSE,106,95.23,7.94,82,12,150,5,37,50,7,5
3603032965600555e3,F,it,2856,TRUE,TRUE,FALSE,11,95.2,7.93,40,8,0,12,37,94,0,0
5888568966094757e3,F,fr,2853,TRUE,TRUE,FALSE,11,95.1,7.92,111,37,237,7,35,91,2,1
-674375683452639200,F,it,3202,TRUE,TRUE,FALSE,11,106.73,8.89,172,50,778,96,34,64,2,0
-1518127094662515500,F,it,2858,TRUE,TRUE,FALSE,12,95.27,7.94,43,12,204,40,34,96.2,1,0
414557244265065e3,F,it,3197,TRUE,TRUE,FALSE,11,106.57,8.88,24,23,34,46,34,85,9,1
-2593705224835681e3,M,en,2858,TRUE,TRUE,FALSE,77,95.27,7.94,94,9,5,10,33,28,0,0
-3756574628479963600,F,de,2857,FALSE,FALSE,FALSE,12,95.23,7.94,30,8,16,13,33,96,97,1
-4708792591984925e3,F,fr,3196,TRUE,TRUE,TRUE,16,106.53,8.88,18,9,4,7,33,93,2,0
-2423762989463308300,F,it,3196,TRUE,TRUE,TRUE,13,106.53,8.88,16,17,14,24,33,87,0,0
4878417912154087e3,F,en,3204,TRUE,TRUE,TRUE,11,106.8,8.9,57,11,26,55,31,100,3,0
-3105560726122001400,M,es,3200,TRUE,TRUE,TRUE,17,106.67,8.89,17,9,16,8,31,90,1,0
2471908634811747e3,F,fr,2858,FALSE,FALSE,TRUE,11,95.27,7.94,17,8,1,35,31,93,2,0
-707350252975782300,F,en,3199,TRUE,TRUE,FALSE,11,106.63,8.89,52,3,137,0,30,90,117,80
-2.6696702994885158e+17,F,fr,2858,TRUE,FALSE,FALSE,131,95.27,7.94,48,8,9,0,30,93,1,0
-5126039730159284e3,F,en,3200,TRUE,TRUE,TRUE,14,106.67,8.89,31,8,84,4,30,100,19,0
5040679896375817e3,F,it,2857,TRUE,TRUE,FALSE,11,95.23,7.94,24,8,27,113,30,76,9,1
7628056793489695e3,F,it,3198,TRUE,TRUE,TRUE,12,106.6,8.88,20,8,11,12,30,93,0,1
1148664357418862200,F,it,3203,TRUE,TRUE,TRUE,13,106.77,8.9,19,8,1,15,30,83,0,1
-7525201869937988e3,F,en,2853,TRUE,TRUE,FALSE,13,95.1,7.92,7,8,0,37,30,90,0,0
-730554516814933e4,F,en,3197,TRUE,TRUE,TRUE,15,106.57,8.88,42,8,0,5,29,86,0,0
-4989163984886404e3,F,en,3205,TRUE,TRUE,TRUE,198,106.83,8.9,21,8,1,5,29,100,0,0
-5487622799428918e3,F,it,3197,TRUE,TRUE,TRUE,11,106.57,8.88,18,9,19,84,29,66,15,0
5578087612076627e3,M,it,3201,TRUE,TRUE,FALSE,14,106.7,8.89,38,9,0,5,28,96,0,0
460632335991029800,F,fr,3200,TRUE,TRUE,TRUE,15,106.67,8.89,28,8,0,0,28,89,0,0
-3031036438332403700,F,es,2853,TRUE,TRUE,FALSE,12,95.1,7.92,25,1,0,32,28,89,0,0
-3225547952260578300,F,it,3195,TRUE,TRUE,FALSE,11,106.5,8.88,18,8,16,4,28,100,0,0
-2019638691506243e3,F,en,2853,FALSE,FALSE,TRUE,11,95.1,7.92,13,8,3,16,28,96,0,0
2447725262541190700,M,en,2859,TRUE,TRUE,FALSE,11,95.3,7.94,62,16,91,8,27,41.6,106,8
-475961064526915700,M,it,3202,TRUE,TRUE,FALSE,11,106.73,8.89,37,9,122,23,27,85,0,0
-5265011381291166e3,M,en,3202,TRUE,TRUE,FALSE,30,106.73,8.89,35,11,8,2,27,55,1,0
392351478755041800,F,fr,2855,TRUE,TRUE,FALSE,12,95.17,7.93,34,9,46,25,27,96,0,0
-1.5547251286360918e+17,F,it,3204,TRUE,TRUE,FALSE,11,106.8,8.9,21,9,3,20,27,85,0,0
-7333104076460973e3,M,en,3197,TRUE,TRUE,FALSE,15,106.57,8.88,15,8,9,14,27,74,0,0
6362794750925083e3,F,en,3205,FALSE,FALSE,TRUE,62,106.83,8.9,14,8,0,3,27,100,0,0
2296455035567004400,M,en,2853,FALSE,FALSE,TRUE,11,95.1,7.92,29,8,2,13,26,100,0,0
-1558789575290939e3,M,it,3195,TRUE,TRUE,FALSE,11,106.5,8.88,28,9,11,17,26,82.6,0,0
-118824317870262110,F,it,3195,FALSE,FALSE,TRUE,40,106.5,8.88,25,10,0,1,26,100,0,0
5570386793953288e3,F,es,3197,TRUE,FALSE,TRUE,20,106.57,8.88,15,8,1,17,26,88,0,0
4039848352999540700,F,it,3199,TRUE,TRUE,TRUE,11,106.63,8.89,10,8,5,48,26,95,3,1
6198034727570263e3,F,en,3199,TRUE,TRUE,FALSE,12,106.63,8.89,52,8,760,18,24,37,182,13
-3.7671298403275203e+18,F,it,3204,TRUE,FALSE,FALSE,11,106.8,8.9,34,16,35,28,24,84,1,0
-3642418212370401e3,F,en,3198,TRUE,TRUE,TRUE,11,106.6,8.88,31,27,161,4,24,100,612,20
-4289690996070697e3,F,es,2858,FALSE,FALSE,FALSE,13,95.27,7.94,31,8,6,1,24,76,0,0
-2032563623176529700,F,it,2856,FALSE,FALSE,TRUE,38,95.2,7.93,27,8,0,1,24,90.9,0,0
5269324306561311e3,F,en,3198,FALSE,FALSE,TRUE,11,106.6,8.88,16,8,30,5,24,84,71,1
7870506640365539e3,F,en,2853,TRUE,TRUE,FALSE,15,95.1,7.92,14,8,31,17,24,83,1,0
-5637783340286902e3,M,it,2852,TRUE,TRUE,FALSE,14,95.07,7.92,11,9,14,3,24,87,0,0
8398736055743886e3,F,en,2852,TRUE,TRUE,FALSE,11,95.07,7.92,36,41,89,35,23,86,128,1
3156900972305054700,M,it,3196,TRUE,TRUE,FALSE,13,106.53,8.88,23,12,79,1,23,95,12,0
-4662320532106764e3,M,fr,3199,FALSE,FALSE,TRUE,11,106.63,8.89,22,9,2,21,23,95,112,5
3205066812882034700,F,fr,3198,TRUE,TRUE,FALSE,11,106.6,8.88,19,9,13,35,23,82,1,0
2005806314827326700,M,fr,2853,TRUE,FALSE,FALSE,11,95.1,7.92,17,8,40,3,23,95,0,7
3396971333013662700,M,es,2856,TRUE,TRUE,FALSE,15,95.2,7.93,16,10,263,3,23,86,5,1
-132504925576448500,M,fr,2856,TRUE,TRUE,TRUE,14,95.2,7.93,36,8,45,5,22,69.2,0,0
3941177177301677600,F,it,2859,TRUE,FALSE,FALSE,11,95.3,7.94,35,10,9,7,22,88.8,7,4
3560501522899091500,F,es,3198,TRUE,TRUE,TRUE,12,106.6,8.88,23,8,1,15,22,95,0,0
5608601345266669e3,F,en,3201,TRUE,TRUE,TRUE,14,106.7,8.89,22,9,20,13,22,100,0,0
-3988618490726027300,F,en,2853,FALSE,FALSE,TRUE,14,95.1,7.92,20,8,203,13,22,100,19,5
-2635574127550510600,F,it,3201,TRUE,TRUE,TRUE,12,106.7,8.89,14,8,0,20,22,100,0,0
5340705875835601e3,M,en,3205,TRUE,TRUE,TRUE,11,106.83,8.9,47,56,1,23,21,85,0,0
-7456592652783748e3,F,en,3201,TRUE,TRUE,FALSE,12,106.7,8.89,36,8,3,21,21,90,0,0
-4585062663413947e3,F,fr,3197,TRUE,TRUE,TRUE,13,106.57,8.88,23,8,165,4,21,80,0,1
-1843636273675089700,F,fr,2859,FALSE,FALSE,TRUE,509,95.3,7.94,15,8,0,2,21,80,0,0
6636702965614781e3,F,fr,2853,FALSE,FALSE,FALSE,11,95.1,7.92,7,8,4,31,21,100,0,0
-6493861971501273e3,M,fr,3201,TRUE,TRUE,FALSE,348,106.7,8.89,44,9,71,0,20,85,1,4
7599081979479136e3,M,it,2859,TRUE,FALSE,TRUE,407,95.3,7.94,37,8,3,0,20,90,0,0
2954063031698529e3,F,fr,3199,TRUE,TRUE,TRUE,11,106.63,8.89,22,9,8,1,20,80,10,0
-175545152996650850,F,de,3204,TRUE,TRUE,FALSE,11,106.8,8.9,17,10,81,20,20,100,80,9
-8114060767204712e3,M,fr,3205,TRUE,TRUE,TRUE,17,106.83,8.9,16,8,33,10,20,79,1,0
2176676048375513e3,F,en,2858,FALSE,FALSE,FALSE,11,95.27,7.94,14,10,65,20,20,90,117,3
-54149593428166e5,F,en,3204,FALSE,FALSE,FALSE,14,106.8,8.9,8,9,29,25,20,92.8,0,1
8412468974196689e3,F,en,3202,TRUE,TRUE,FALSE,13,106.73,8.89,52,44,73,15,19,100,3,3
4544236993054741500,F,it,2856,TRUE,TRUE,FALSE,11,95.2,7.93,48,28,346,3,19,89,1075,54
-7270250484585798e3,F,it,3199,TRUE,TRUE,FALSE,11,106.63,8.89,44,90,105,4,19,94,7,1
5658594004416572e3,F,it,2852,TRUE,TRUE,TRUE,11,95.07,7.92,32,8,1,4,19,100,0,0
2089942970038387500,F,fr,3197,TRUE,TRUE,TRUE,462,106.57,8.88,19,8,0,1,19,50,0,0
4397937128872732700,F,it,3199,TRUE,TRUE,FALSE,12,106.63,8.89,17,8,6,17,19,100,1,0
8714632166259026e3,M,fr,3199,TRUE,TRUE,TRUE,164,106.63,8.89,12,8,0,4,19,94,0,0
7433446967793286e3,F,it,3197,FALSE,FALSE,TRUE,11,106.57,8.88,12,8,3,15,19,94,0,0
1012384471114635300,F,en,3203,TRUE,FALSE,FALSE,14,106.77,8.9,71,9,22,0,18,66,14,11
286344086476967420,F,en,3203,TRUE,TRUE,FALSE,61,106.77,8.9,44,8,14,0,18,78,9,3
2810735565323164700,F,it,3202,TRUE,TRUE,FALSE,11,106.73,8.89,22,9,36,51,18,70,1,0
5948527957260622e3,F,en,3201,TRUE,TRUE,FALSE,22,106.7,8.89,18,8,1,4,18,100,0,0
1414819104682020900,F,fr,3198,FALSE,FALSE,TRUE,12,106.6,8.88,18,16,52,0,18,100,4,48
274285183765534e4,F,fr,2854,TRUE,TRUE,TRUE,15,95.13,7.93,18,9,4,9,18,100,3,1
-1811241777092183600,M,it,3195,TRUE,TRUE,TRUE,30,106.5,8.88,16,15,1,4,18,44,3,0
-2484050910464265e3,M,en,3202,TRUE,TRUE,TRUE,12,106.73,8.89,11,10,14,5,18,83,19,0
-1587256097918933800,F,it,3205,FALSE,FALSE,TRUE,29,106.83,8.9,4,8,0,18,18,84,0,0
-256273391053239e4,F,it,3195,TRUE,TRUE,FALSE,14,106.5,8.88,41,85,69,12,17,58,0,0
-6774410030134281e3,F,it,3200,TRUE,TRUE,TRUE,13,106.67,8.89,40,122,28,18,17,66,3,2
5645343112681717e3,F,en,2856,FALSE,FALSE,TRUE,11,95.2,7.93,18,8,4,202,17,92.3,31,6
-196526328939107460,F,es,2858,TRUE,TRUE,FALSE,13,95.27,7.94,15,8,0,23,17,88,0,0
-5615345129556213e3,M,fr,2857,TRUE,TRUE,TRUE,14,95.23,7.94,12,8,0,0,17,70,0,0
2809544399795828e3,F,it,3195,FALSE,FALSE,TRUE,72,106.5,8.88,6,8,0,5,17,94,0,0
-4952083411492433e3,M,it,3204,TRUE,FALSE,FALSE,18,106.8,8.9,6,9,2,4,17,76,0,0
-4183965762188839e3,F,fr,3195,TRUE,TRUE,TRUE,12,106.5,8.88,23,8,10,6,16,100,1,0
-3278299100123669e3,F,fr,3205,FALSE,FALSE,TRUE,653,106.83,8.9,22,8,0,27,16,100,0,0
3298648559181926400,M,it,3196,TRUE,TRUE,FALSE,11,106.53,8.88,13,12,7,10,16,87,0,0
7815106841903372e3,M,it,2856,FALSE,FALSE,FALSE,40,95.2,7.93,13,8,12,3,16,81,1,0
8467622258833975e3,M,en,3203,FALSE,FALSE,FALSE,24,106.77,8.9,12,8,13,12,16,100,4,0
1650442485725479700,F,es,3196,TRUE,TRUE,FALSE,22,106.53,8.88,12,8,0,8,16,87,0,0
-3111245128789617e3,M,it,2854,TRUE,TRUE,TRUE,11,95.13,7.93,10,8,21,18,16,100,1,0
1821852718268771600,M,it,2853,TRUE,TRUE,TRUE,13,95.1,7.92,8,8,2,12,16,100,0,0
2119852871524485600,F,fr,3198,TRUE,TRUE,FALSE,31,106.6,8.88,353,8268,5595,5,15,66,875,0
-6408087395020673e3,M,it,3202,TRUE,TRUE,TRUE,26,106.73,8.89,44,8,1,0,15,31,0,0
-2481040147845794e3,M,fr,3196,TRUE,TRUE,FALSE,385,106.53,8.88,35,89,35,2,15,60,2,0
6265942445734722e3,F,en,2855,TRUE,TRUE,FALSE,395,95.17,7.93,20,8,7,1,15,43,0,0
1108410503511830800,M,fr,2855,TRUE,TRUE,FALSE,11,95.17,7.93,17,5,40,7,15,82,0,0
-5465827034815947e3,F,de,3204,FALSE,FALSE,TRUE,42,106.8,8.9,16,8,1,4,15,100,757,31
804300687807278700,F,en,3195,FALSE,FALSE,TRUE,11,106.5,8.88,10,8,0,3,15,93,0,1
4552307206837197e3,F,en,3201,TRUE,TRUE,FALSE,11,106.7,8.89,9,8,5,21,15,93,0,0
-4817330933906711e3,F,en,2856,TRUE,TRUE,TRUE,12,95.2,7.93,9,8,17,16,15,90,4,1
3143360820876874e3,F,en,2856,TRUE,TRUE,TRUE,13,95.2,7.93,8,8,0,22,15,100,0,0
6836225089878304e3,M,it,2852,TRUE,TRUE,TRUE,78,95.07,7.92,7,8,4,0,15,53,0,0
772916917303764200,F,fr,2856,TRUE,TRUE,FALSE,13,95.2,7.93,6,8,21,2,15,100,0,1
1266513722862909700,F,en,3201,FALSE,FALSE,FALSE,11,106.7,8.89,89,61,10,1,14,91.6,0,0
8954682889673027e3,F,fr,3204,TRUE,TRUE,FALSE,282,106.8,8.9,40,8,0,1,14,78,0,0
-5044967667431901e3,M,en,2855,TRUE,TRUE,FALSE,15,95.17,7.93,33,2,9,1,14,85,5,0
-743341976469502e4,M,en,3195,TRUE,TRUE,FALSE,11,106.5,8.88,27,17,699,8,14,64,2,28
-4921665515049113e3,F,en,3195,TRUE,FALSE,TRUE,11,106.5,8.88,18,14,83,3,14,100,16,0
2223440464791259100,M,en,2857,TRUE,TRUE,TRUE,11,95.23,7.94,17,8,0,3,14,93,0,0
7354106200842466e3,F,en,2857,FALSE,FALSE,TRUE,15,95.23,7.94,16,8,0,7,14,92,0,0
-5929631072110696e3,F,en,3203,FALSE,FALSE,TRUE,29,106.77,8.9,15,8,0,18,14,100,0,0
2666967150317595600,F,en,3196,TRUE,TRUE,FALSE,79,106.53,8.88,14,8,7,5,14,100,0,5
8895610986335586e3,F,de,3201,FALSE,FALSE,TRUE,222,106.7,8.89,12,8,1,1,14,92,0,0
-3399229719974957e3,F,fr,3202,FALSE,FALSE,TRUE,27,106.73,8.89,8,9,3,7,14,100,0,0
4691043451889598e3,M,fr,3202,TRUE,TRUE,TRUE,120,106.73,8.89,7,10,1,0,14,92,0,1
-3184248708798182e3,F,it,2854,TRUE,TRUE,TRUE,13,95.13,7.93,5,8,0,9,14,100,0,0
-3692647451487729700,F,it,2854,TRUE,TRUE,FALSE,12,95.13,7.93,74,161,151,7,13,92,23,0
123406389834757060,M,it,3205,TRUE,TRUE,TRUE,36,106.83,8.9,39,77,29,2,13,76,0,0
8259811812732836e3,F,fr,3196,TRUE,TRUE,FALSE,13,106.53,8.88,28,9,11,7,13,84,1,0
-7270125722291322e3,F,en,3198,TRUE,TRUE,FALSE,11,106.6,8.88,24,8,0,27,13,69,0,0
6450837885368826e3,F,en,3195,TRUE,TRUE,TRUE,161,106.5,8.88,23,8,0,0,13,100,0,0
5672578926527822e3,F,de,3197,TRUE,TRUE,FALSE,390,106.57,8.88,21,9,0,0,13,100,9,3
-2070747490330478e3,F,en,2858,FALSE,FALSE,TRUE,42,95.27,7.94,21,9,97,3,13,84,10,16
-1930793547500065800,F,en,2852,TRUE,TRUE,FALSE,11,95.07,7.92,21,8,0,23,13,84,0,0
-1218321640451818e3,F,fr,2858,TRUE,TRUE,TRUE,11,95.27,7.94,20,8,7,10,13,61,2,5
1887588469577775600,F,fr,3198,TRUE,TRUE,FALSE,12,106.6,8.88,19,12,4,12,13,92.3,2,1
-5304045581393805e3,F,it,3196,TRUE,FALSE,TRUE,11,106.53,8.88,15,10,10,49,13,92,0,0
2080874342282188800,F,en,3204,TRUE,TRUE,TRUE,25,106.8,8.9,14,8,22,6,13,61,2,2
-7558842031035019e3,F,fr,3204,FALSE,FALSE,FALSE,11,106.8,8.9,13,10,1,3,13,76,0,5
2684463115894202400,F,it,3203,FALSE,FALSE,TRUE,19,106.77,8.9,12,8,5,1,13,100,0,0
9165237695460276e3,F,fr,3201,TRUE,TRUE,TRUE,15,106.7,8.89,12,8,1,8,13,90.9,0,0
6927980912431519e3,F,en,3204,TRUE,TRUE,TRUE,13,106.8,8.9,12,8,11,0,13,92,2,2
-1024978039084839400,F,en,3202,TRUE,TRUE,TRUE,11,106.73,8.89,11,10,153,27,13,92,63,6
2134769578327151600,F,fr,3199,TRUE,TRUE,TRUE,14,106.63,8.89,11,9,34,11,13,92,9,1
9112201254574659e3,F,en,3204,TRUE,TRUE,TRUE,71,106.8,8.9,11,8,0,6,13,92,1,0
-4.7226372818396243e+17,F,it,2859,TRUE,TRUE,FALSE,12,95.3,7.94,10,8,2,2,13,92.3,0,0
5050159119269579e3,F,it,3197,TRUE,FALSE,TRUE,11,106.57,8.88,7,8,2,11,13,84,0,0
-4777706147892518e3,F,it,3196,TRUE,FALSE,FALSE,12,106.53,8.88,24,17,111,4,12,90.9,27,0
-397250209581712260,F,fr,3203,TRUE,TRUE,TRUE,16,106.77,8.9,21,9,11,19,12,100,0,7
2124142446998656500,M,it,3199,TRUE,TRUE,TRUE,11,106.63,8.89,19,8,3,2,12,91,0,0
-6760394015361903e3,M,es,2854,TRUE,FALSE,TRUE,22,95.13,7.93,19,10,14,54,12,83.3,108,20
8929403423509339e3,M,en,2858,FALSE,FALSE,FALSE,55,95.27,7.94,17,8,0,0,12,83,0,1
-102323955608928060,M,en,2853,TRUE,FALSE,TRUE,418,95.1,7.92,17,8,2,0,12,83,0,0
-8963521929858248e3,M,fr,3199,FALSE,FALSE,TRUE,11,106.63,8.89,16,9,0,4,12,91,12,279
6242056653228955e3,F,it,3197,TRUE,TRUE,TRUE,20,106.57,8.88,15,9,3,11,12,91,5,0
759134477842196e4,F,en,2859,TRUE,TRUE,TRUE,11,95.3,7.94,13,14,12,5,12,58,3,1
2185706046991170600,F,en,2858,TRUE,TRUE,FALSE,84,95.27,7.94,13,9,20,0,12,91,3,2
9110746762615025e3,F,en,2853,TRUE,TRUE,TRUE,11,95.1,7.92,13,10,46,7,12,100,0,0
-3307670636200509e3,M,es,3196,TRUE,TRUE,FALSE,93,106.53,8.88,12,9,11,2,12,58,0,0
6427621498633805e3,F,en,2855,TRUE,TRUE,FALSE,35,95.17,7.93,12,8,3,8,12,84,1,0
6706972309918878e3,F,en,3196,FALSE,FALSE,TRUE,12,106.53,8.88,10,8,0,9,12,100,0,0
-6080060077659605e3,F,en,2853,TRUE,TRUE,TRUE,11,95.1,7.92,10,9,53,1,12,91,160,7
-4585824128728051700,F,en,3198,TRUE,TRUE,TRUE,11,106.6,8.88,9,8,5,10,12,100,1,1
6174388311350322e3,F,en,3204,TRUE,TRUE,TRUE,358,106.8,8.9,9,8,1,1,12,91,5,0
-902443493449601e4,F,es,3204,FALSE,FALSE,FALSE,14,106.8,8.9,9,8,1,19,12,91,0,0
-4667278445086513e3,M,fr,3204,TRUE,FALSE,FALSE,11,106.8,8.9,9,8,2,10,12,84,0,0
-2710249322280429e3,M,de,3202,FALSE,FALSE,TRUE,19,106.73,8.89,8,8,1,2,12,75,0,0
6984562738469244e3,M,it,3203,TRUE,TRUE,FALSE,14,106.77,8.9,7,8,1,2,12,83,0,1
1494612845268798500,M,it,3205,FALSE,FALSE,TRUE,295,106.83,8.9,7,8,0,0,12,91,0,0
5539712243095e6,M,it,3205,TRUE,TRUE,TRUE,19,106.83,8.9,6,8,7,4,12,83,1,0
659846641316865200,F,en,3203,TRUE,TRUE,FALSE,21,106.77,8.9,42,16,31,9,11,90,3,5
-6372279369065452e3,F,it,3202,FALSE,FALSE,FALSE,25,106.73,8.89,42,8,1,22,11,90,1,0
-2440262652827135e3,F,en,3198,FALSE,FALSE,TRUE,12,106.6,8.88,34,8,6,7,11,83,0,0
2418640721027439600,F,en,3204,TRUE,TRUE,TRUE,14,106.8,8.9,34,8,3,3,11,90,3,0
-2416690132902626e3,F,it,2858,TRUE,TRUE,FALSE,11,95.27,7.94,24,21,57,39,11,81,859,16
7592491243025992e3,F,en,2854,TRUE,TRUE,FALSE,186,95.13,7.93,23,8,2,0,11,100,0,0
8072484312178781e3,F,it,3199,TRUE,TRUE,FALSE,20,106.63,8.89,22,11,22,6,11,81,2,0
-44277058615831e5,F,fr,3201,FALSE,FALSE,FALSE,24,106.7,8.89,21,2,61,11,11,100,225,1
8205872311971983e3,F,it,3195,FALSE,FALSE,TRUE,30,106.5,8.88,21,8,1,19,11,63,0,0
-2911247715579444e3,M,en,3200,TRUE,FALSE,FALSE,26,106.67,8.89,20,9,7,0,11,90,1,0
240925518626164e4,F,it,3200,TRUE,TRUE,FALSE,16,106.67,8.89,19,9,11,22,11,81,8,0
1086693516958176300,F,de,3195,FALSE,FALSE,FALSE,11,106.5,8.88,18,11,41,7,11,100,2,2
